"id","dispatching_base_number","date","active_vehicles","trips"
"1","B02512","2015-01-01","190","1132"
"2","B02765","2015-01-01","225","1765"
"3","B02764","2015-01-01","3427","29421"
"4","B02682","2015-01-01","945","7679"
"5","B02617","2015-01-01","1228","9537"
"6","B02598","2015-01-01","870","6903"
"7","B02598","2015-01-02","785","4768"
"8","B02617","2015-01-02","1137","7065"
"9","B02512","2015-01-02","175","875"
"10","B02682","2015-01-02","890","5506"
"11","B02765","2015-01-02","196","1001"
"12","B02764","2015-01-02","3147","19974"
"13","B02765","2015-01-03","201","1526"
"14","B02617","2015-01-03","1188","10664"
"15","B02598","2015-01-03","818","7432"
"16","B02682","2015-01-03","915","8010"
"17","B02512","2015-01-03","173","1088"
"18","B02764","2015-01-03","3215","29729"
"19","B02512","2015-01-04","147","791"
"20","B02682","2015-01-04","812","5621"
"21","B02598","2015-01-04","746","5223"
"22","B02765","2015-01-04","183","993"
"23","B02617","2015-01-04","1088","7729"
"24","B02764","2015-01-04","2862","20441"
"25","B02512","2015-01-05","194","984"
"26","B02682","2015-01-05","951","6012"
"27","B02617","2015-01-05","1218","7899"
"28","B02764","2015-01-05","3387","20926"
"29","B02598","2015-01-05","907","5798"
"30","B02765","2015-01-05","227","1133"
"31","B02764","2015-01-06","3473","25301"
"32","B02682","2015-01-06","1022","7491"
"33","B02617","2015-01-06","1336","10128"
"34","B02765","2015-01-06","234","1376"
"35","B02512","2015-01-06","218","1314"
"36","B02598","2015-01-06","933","6816"
"37","B02617","2015-01-07","1363","11528"
"38","B02682","2015-01-07","1039","9078"
"39","B02764","2015-01-07","3603","29949"
"40","B02765","2015-01-07","248","1704"
"41","B02512","2015-01-07","217","1446"
"42","B02598","2015-01-07","974","8397"
"43","B02765","2015-01-08","262","1911"
"44","B02598","2015-01-08","1070","10050"
"45","B02512","2015-01-08","238","1772"
"46","B02682","2015-01-08","1135","10416"
"47","B02764","2015-01-08","3831","33802"
"48","B02617","2015-01-08","1463","13462"
"49","B02617","2015-01-09","1455","13165"
"50","B02512","2015-01-09","224","1560"
"51","B02764","2015-01-09","3820","33517"
"52","B02682","2015-01-09","1140","10477"
"53","B02598","2015-01-09","1070","9538"
"54","B02765","2015-01-09","280","2039"
"55","B02682","2015-01-10","1057","11629"
"56","B02617","2015-01-10","1331","13856"
"57","B02598","2015-01-10","949","10287"
"58","B02512","2015-01-10","206","1646"
"59","B02764","2015-01-10","3558","38864"
"60","B02765","2015-01-10","245","2202"
"61","B02765","2015-01-11","220","1672"
"62","B02598","2015-01-11","832","7176"
"63","B02682","2015-01-11","943","8461"
"64","B02764","2015-01-11","3186","27681"
"65","B02617","2015-01-11","1228","10932"
"66","B02512","2015-01-11","162","1104"
"67","B02764","2015-01-12","3499","26852"
"68","B02765","2015-01-12","279","1711"
"69","B02512","2015-01-12","217","1399"
"70","B02598","2015-01-12","964","7915"
"71","B02682","2015-01-12","1082","9107"
"72","B02617","2015-01-12","1323","10662"
"73","B02765","2015-01-13","258","1697"
"74","B02598","2015-01-13","975","8713"
"75","B02617","2015-01-13","1342","11825"
"76","B02512","2015-01-13","234","1652"
"77","B02764","2015-01-13","3658","29983"
"78","B02682","2015-01-13","1092","9629"
"79","B02764","2015-01-14","3736","29550"
"80","B02765","2015-01-14","271","1600"
"81","B02598","2015-01-14","1030","8870"
"82","B02512","2015-01-14","233","1582"
"83","B02617","2015-01-14","1405","11965"
"84","B02682","2015-01-14","1174","9762"
"85","B02512","2015-01-15","237","1636"
"86","B02682","2015-01-15","1208","10391"
"87","B02617","2015-01-15","1457","12539"
"88","B02765","2015-01-15","270","1797"
"89","B02764","2015-01-15","3840","31214"
"90","B02598","2015-01-15","1068","9152"
"91","B02617","2015-01-16","1445","12977"
"92","B02765","2015-01-16","290","2082"
"93","B02764","2015-01-16","3975","34822"
"94","B02682","2015-01-16","1250","11280"
"95","B02512","2015-01-16","234","1481"
"96","B02598","2015-01-16","1079","9838"
"97","B02598","2015-01-17","974","9546"
"98","B02512","2015-01-17","201","1281"
"99","B02682","2015-01-17","1137","11382"
"100","B02765","2015-01-17","252","2160"
"101","B02617","2015-01-17","1306","12676"
"102","B02764","2015-01-17","3657","36318"
"103","B02512","2015-01-18","177","1521"
"104","B02598","2015-01-18","869","9443"
"105","B02765","2015-01-18","248","2287"
"106","B02764","2015-01-18","3290","35182"
"107","B02682","2015-01-18","1056","11161"
"108","B02617","2015-01-18","1223","12879"
"109","B02682","2015-01-19","883","7028"
"110","B02617","2015-01-19","992","7775"
"111","B02765","2015-01-19","238","1568"
"112","B02764","2015-01-19","2958","22750"
"113","B02512","2015-01-19","168","1025"
"114","B02598","2015-01-19","706","5609"
"115","B02598","2015-01-20","944","7206"
"116","B02682","2015-01-20","1151","8496"
"117","B02512","2015-01-20","221","1310"
"118","B02764","2015-01-20","3654","26137"
"119","B02765","2015-01-20","272","1608"
"120","B02617","2015-01-20","1350","10015"
"121","B02764","2015-01-21","3718","27344"
"122","B02512","2015-01-21","242","1519"
"123","B02682","2015-01-21","1228","9472"
"124","B02598","2015-01-21","1035","8041"
"125","B02765","2015-01-21","296","1774"
"126","B02617","2015-01-21","1429","10997"
"127","B02617","2015-01-22","1471","12143"
"128","B02764","2015-01-22","3889","30091"
"129","B02512","2015-01-22","246","1551"
"130","B02598","2015-01-22","1071","9080"
"131","B02682","2015-01-22","1295","10699"
"132","B02765","2015-01-22","295","2038"
"133","B02598","2015-01-23","1093","9343"
"134","B02512","2015-01-23","246","1670"
"135","B02765","2015-01-23","299","2162"
"136","B02764","2015-01-23","4040","33756"
"137","B02617","2015-01-23","1482","13121"
"138","B02682","2015-01-23","1330","11767"
"139","B02598","2015-01-24","945","10040"
"140","B02764","2015-01-24","3652","39187"
"141","B02512","2015-01-24","211","1608"
"142","B02617","2015-01-24","1367","14143"
"143","B02682","2015-01-24","1223","13355"
"144","B02765","2015-01-24","245","2376"
"145","B02512","2015-01-25","183","1190"
"146","B02764","2015-01-25","3300","28066"
"147","B02765","2015-01-25","226","1755"
"148","B02598","2015-01-25","829","7219"
"149","B02682","2015-01-25","1046","9303"
"150","B02617","2015-01-25","1203","10362"
"151","B02617","2015-01-26","1150","7608"
"152","B02598","2015-01-26","860","5919"
"153","B02765","2015-01-26","230","1363"
"154","B02764","2015-01-26","3012","19940"
"155","B02682","2015-01-26","1084","7565"
"156","B02512","2015-01-26","197","1000"
"157","B02682","2015-01-27","600","4414"
"158","B02765","2015-01-27","135","921"
"159","B02617","2015-01-27","596","4325"
"160","B02598","2015-01-27","434","2957"
"161","B02512","2015-01-27","112","629"
"162","B02764","2015-01-27","1619","11998"
"163","B02764","2015-01-28","3692","28137"
"164","B02682","2015-01-28","1235","10025"
"165","B02765","2015-01-28","286","1913"
